282.720000 -0.037540
282.762000 -0.002380
282.803000 -0.022020
282.845000 0.049130
282.887000 0.143210
282.928000 0.120830
282.970000 0.048930
283.012000 -0.005400
283.053000 0.032100
283.095000 0.112180
283.220000 0.146710
283.262000 0.095280
283.303000 0.005320
283.428000 -0.041310
283.470000 0.025790
283.512000 0.016070
283.553000 0.035670
283.595000 0.056150
283.637000 0.055440
283.678000 0.056190
283.720000 0.026470
283.762000 -0.030040
283.803000 0.017780
283.845000 0.088130
283.887000 -0.046750
&
0.041865 0.041865
0.031578 0.031578
0.032530 0.032530
0.029950 0.029950
0.009385 0.009385
0.000595 0.000595
0.005505 0.005505
0.012283 0.012283
0.035803 0.035803
0.030208 0.030208
0.012233 0.012233
0.001350 0.001350
0.008025 0.008025
0.028045 0.028045
0.046130 0.046130
0.043135 0.043135
0.036678 0.036678
0.023820 0.023820
0.001330 0.001330
0.039455 0.039455
0.048997 0.048997
0.010327 0.010327
0.006448 0.006448
0.004018 0.004018
0.008918 0.008918
0.014037 0.014037
&
284.8000 0.049130
285.0000 0.048930
285.2000 0.112180
285.40000 0.025790
285.6000 0.056150
285.8000 0.088130
&
0.041865 0.041865
0.031578 0.031578
0.032530 0.032530
0.029950 0.029950
0.009385 0.009385
0.000595 0.000595
&
286.845000 0.049130
286.970000 0.038930
287.095000 0.112180
287.470000 0.025790
287.595000 0.056150
287.845000 0.088130
&
0.125595 0.125595
0.094734 0.094734
0.097590 0.097590
0.089850 0.089850
0.028155 0.028155
0.031785 0.031785
&
